User ID,First Name,Last Name,Country,Phone,Email,SIN,Password
5703,Mina,Abbs,Nicaragua,398-8323,mabbs@yahoo.co.id,170205867,IgSr~dI4y
8606,Correy,Abbs,South Korea,398-9817,cabbs@aliceadsl.fr,759204176,JdDKR;
9967,Darill,Abbs,Dominican Republic,429-2417,dabbs@bol.com.br,178228574,S\)_>X>[6?RC?4=&
933,Barret,Abby,Guatemala,398-6883,babby@outlook.com,836223363,IiBa]W]DvYC5g.-
1375,Troy,Abby,Cyprus,270-5093,tabby@yahoo.ca,139384067,lC+[`2JU!Rr9
1822,Myrta,Abby,Colombia,444-9940,mabby@bigpond.com,202777313,Fs_e}8ABw.
3174,Nels,Abby,Cameroon,219-3934,nabby@arcor.de,539658555,`d[?S[2ST_
3277,Beale,Abby,Serbia,444-1393,babby@home.nl,294617166,#Eh&/v;QTMG[
4242,Elvin,Abby,Nigeria,429-1002,eabby@sympatico.ca,480765234,+JyA==!V
4600,Les,Abby,New Zealand,398-1112,labby@live.com,846049519,\L?{<{{*]+I/?qo
5263,Hadleigh,Abby,Nigeria,270-9488,habby@live.it,157142634,i@L/.W<R
7540,Savina,Abby,Paraguay,867-3228,sabby@home.nl,954591330,J{niU.Fd#
7753,Adina,Abby,Mongolia,444-3738,aabby@yahoo.es,450219910,hzi[|2k5
404,Phineas,Abrahamoff,Mauritius,997-6559,pabrahamoff@sky.com,296067913,KWGw6vrE<;W
485,Britney,Abrahamoff,Malawi,398-9351,babrahamoff@planet.nl,696969533,(MkRf`n
613,Barron,Abrahamoff,Bulgaria,219-3198,babrahamoff@facebook.com,302740103,Mt~#4Y
3730,Ninnetta,Abrahamoff,Guinea-Bissau,398-6614,nabrahamoff@virgilio.it,673993150,)e"?f}\]-w
5059,Barde,Abrahamoff,Tonga,209-7256,babrahamoff@googlemail.com,138985428,N|le;_->7n
5508,Gerladina,Abrahamoff,Israel,997-9245,gabrahamoff@skynet.be,633247319,xC!_iD+ITHQ?awT
5537,Graehme,Abrahamoff,Czechia (Czech Republic),398-6468,gabrahamoff@mail.com,262242865,{q8M@&hR'JUAQ
6241,Coriss,Abrahamoff,Spain,219-6860,cabrahamoff@mail.com,419276610,G4I3C~'<sN
6303,Debora,Abrahamoff,Kenya,997-3835,dabrahamoff@aim.com,806582248,llQzDeoJ
7186,Daniella,Abrahamoff,Canada,398-1989,dabrahamoff@bigpond.net.au,134173024,w$O#-VSJHdDo
8690,Giulio,Abrahamoff,Honduras,997-5904,gabrahamoff@hetnet.nl,727827046,wsnHGGm=Z}'Qxz
9447,Don,Abrahamoff,Indonesia,925-2029,dabrahamoff@hotmail.de,260023330,BzQE@E({Z
1446,Jeremy,Acuna,Tunisia,925-7174,jacuna@alice.it,233879925,cgAX[0Z7pYe{:d
2147,Jeth,Acuna,Congo (Congo-Brazzaville),219-9619,jacuna@club-internet.fr,960644427,)'w[ba+b}[&%#M+
2533,Nels,Acuna,Vietnam,908-8316,nacuna@hotmail.fr,533520732,DH&x&:9`"%@X
7664,Karel,Acuna,Sri Lanka,997-9444,kacuna@yahoo.es,471953347,)]9^7K
7712,Philipa,Acuna,Saint Kitts and Nevis,925-4159,pacuna@ig.com.br,936646450,]g;gpe{k{QB>k
8112,Saundra,Acuna,Serbia,209-4468,sacuna@yahoo.de,512391243,#i)WI$G}E#[
8150,Yorke,Acuna,Saudi Arabia,398-5745,yacuna@bigpond.net.au,650695407,a-8e%E9
8649,Ardyth,Acuna,Mali,270-3292,aacuna@live.fr,305907497,N3qi;+
855,Garreth,Adair,Gambia,444-6829,gadair@aliceadsl.fr,208716703,tZm>SGyaDB&ozK0;
3472,Lem,Adair,Somalia,908-6478,ladair@orange.fr,227603431,Kz"R(G~9'5W
3478,Jesselyn,Adair,Gambia,925-4264,jadair@windstream.net,613002319,mR2iI:cf+FQ
6300,Claudius,Adair,Marshall Islands,429-6703,cadair@googlemail.com,403709988,Lii%fFp\n[;`
7486,Glyn,Adair,Guinea,444-7024,gadair@yahoo.in,681367060,_KT%O?w:v7[
8198,Ynes,Adair,Burundi,398-6618,yadair@free.fr,253377939,67?%Zyw]2
8654,Dal,Adair,Venezuela,444-1899,dadair@arcor.de,918173795,{TZjkm?uJ`X7c
9615,Janek,Adair,Guinea-Bissau,209-7491,jadair@outlook.com,696050892,?#OP+~euMCdw?MI
209,Shanon,Addie,Sao Tome and Principe,398-5210,saddie@shaw.ca,985470201,`XyqF$Pk?TLw:
716,Rinaldo,Addie,Syria,219-5453,raddie@earthlink.net,570591007,[tIAs\N
925,Honoria,Addie,Grenada,925-4110,haddie@alice.it,407965380,o#A7X.Hv"jR7t(ki
979,Hakeem,Addie,Turkmenistan,444-1969,haddie@rediffmail.com,611238297,`!Lk!-R*=rQJ
1118,Thaddus,Addie,Guinea,270-4565,taddie@yahoo.co.in,436493474,fFgN#dMVRn
2111,Ivett,Addie,Antigua and Barbuda,444-7049,iaddie@voila.fr,176052767,yQvwr]Ap^
2861,Ardisj,Addie,Senegal,908-5862,aaddie@freenet.de,207437032,!$Ezmz_7'Sw'
3377,Marita,Addie,Seychelles,997-3692,maddie@hotmail.de,450328744,vCeD3VDgujo
3524,Lauraine,Addie,Antigua and Barbuda,398-4143,laddie@yahoo.it,175755408,mM<NQ|/@D5
4057,Jaimie,Addie,Botswana,925-2900,jaddie@neuf.fr,397525832,f]C&H{~:2q$|L
4728,Vivi,Addie,Turkey,398-3980,vaddie@juno.com,548361504,<$2ajF72o4%
4901,Shanan,Addie,United Arab Emirates,997-3176,saddie@terra.com.br,210198190,]'zU>HXHLL03f
4956,Shawnee,Addie,Iceland,398-3621,saddie@hotmail.de,428176325,U=O\>J.epD$!
5070,Scotti,Addie,Italy,209-7930,saddie@rocketmail.com,359393079,A2=KQ:
6517,Raimund,Addie,Brazil,219-5512,raddie@web.de,776944007,U/f<:9I2
8351,Kirby,Addie,South Sudan,270-9913,kaddie@me.com,789937210,e4Jn36
9074,Francine,Addie,Côte d'Ivoire,908-2224,faddie@live.com,142409142,C8;p_zBvad
9220,Kassia,Addie,Saint Lucia,429-3536,kaddie@googlemail.com,496721078,/Xn'4u>-b]y}</y?
9726,Jayme,Addie,Portugal,270-9632,jaddie@facebook.com,516560691,bG7>`PA9hE0`'0}t
2372,Nels,Ager,Russia,867-3986,nager@yahoo.com.mx,346332906,aQHe&c\FlsZwSJ~
3745,Merci,Ager,Panama,219-2748,mager@googlemail.com,193385277,)Lnt9-q~Xft
3813,Ogdon,Ager,Vanuatu,997-7168,oager@yahoo.com.br,276169776,\~a2Sm_(0N
3858,Drona,Ager,United States of America,997-3600,dager@gmx.net,461313670,V.j0@(
3978,Philipa,Ager,Benin,925-1995,pager@home.nl,226160749,-CXX#]?>8oTl17yO
4140,Sheri,Ager,Liberia,398-4867,sager@skynet.be,296972206,}hdi&T:uj5PK3!
5048,Randene,Ager,Gabon,219-1946,rager@bigpond.com,304612443,!wSG?K"iE
5240,Jarret,Ager,Niger,219-8213,jager@zonnet.nl,153902108,v6f>snF"^<k
7155,Keene,Ager,Yemen,209-8615,kager@hotmail.com,972719336,;{&oiJQ.}
9151,Clo,Ager,Papua New Guinea,997-2546,cager@att.net,132117834,E[fg=i?
9609,Karoly,Ager,Czechia (Czech Republic),925-5087,kager@optusnet.com.au,417287395,(=<-pZy^\o
726,Lynnette,Agg,Djibouti,429-4554,lagg@freenet.de,223643961,/?e-K\
1407,Bendix,Agg,Sweden,429-4483,bagg@chello.nl,117912616,;lR=2s7CiMfN}[i3
1924,Hadria,Agg,Bosnia and Herzegovina,908-6874,hagg@club-internet.fr,414628386,r3{NSmEu*n2|{LJY
1936,Annmarie,Agg,Kiribati,925-1861,aagg@rediffmail.com,896066158,!D-2fWu2yfC}g
3338,Maryjo,Agg,Poland,997-6558,magg@sbcglobal.net,562895821,:c>|UZJbrjiAG
3447,Annabelle,Agg,Thailand,444-3567,aagg@hotmail.fr,744476461,fyq7`L
4660,Martin,Agg,Djibouti,867-5607,magg@rediffmail.com,735301571,\H<\CEf4{%Y(K`
6604,Sephira,Agg,South Korea,908-8307,sagg@aol.com,869070074,}\7wqD9
6679,Colline,Agg,Germany,867-1086,cagg@sbcglobal.net,433206963,L\~k\%H8#r{EQ
7375,Rhoda,Agg,Malta,925-5944,ragg@home.nl,981824235,Wb|Jvr^s}
8290,Ginnie,Agg,Latvia,908-6838,gagg@orange.fr,807019234,TVK_J;}!kvDJZ
1800,Leoline,Ainger,Bosnia and Herzegovina,429-5343,lainger@yahoo.com.mx,418617558,RnPv|'x
1994,Ranice,Ainger,Canada,444-2495,rainger@tin.it,592724950,:u6nxCUH2
3790,Carlie,Ainger,Lesotho,219-8784,cainger@frontiernet.net,629665125,<t@.;]."b
5090,Wakefield,Ainger,Mauritania,867-7089,wainger@tiscali.co.uk,321606796,%V/o/{A6-{fL
5456,Zuzana,Ainger,Guinea-Bissau,444-4452,zainger@alice.it,346245249,S>4Kz0
6379,Arnuad,Ainger,Egypt,925-1151,aainger@yahoo.co.uk,674744191,.bx%<t$\ahr`Y/k
7565,Cobbie,Ainger,Singapore,219-7057,cainger@earthlink.net,420228813,UU;W8sY]/:-DmcH
8750,Sterling,Ainger,Jamaica,219-4677,sainger@yahoo.com.sg,357934429,YbAj8a&ZmfVYse
9479,Madison,Ainger,Jordan,867-8635,mainger@cox.net,232851460,1s{%u(waxe
9879,Marve,Ainger,Qatar,219-4066,mainger@alice.it,412905573,cblTN$*x7Xw[
882,Lucius,Albrook,Kyrgyzstan,908-9328,lalbrook@att.net,499352652,9C#-N7H9q6*
1507,Vincenty,Albrook,Honduras,219-5199,valbrook@freenet.de,848717211,p)Ul?9$Je{:P@:2U
2814,Humberto,Albrook,Finland,444-2278,halbrook@gmail.com,397825612,Jm-+LpqY$OzFqP*
3840,Margie,Albrook,Zambia,908-6297,malbrook@aliceadsl.fr,386753849,OAR3hP]NlD
3872,Carlie,Albrook,Spain,429-6810,calbrook@t-online.de,112123139,sG"&`yW5yg8qe
5373,Ede,Albrook,Italy,925-1352,ealbrook@yahoo.com.br,622929038,W\TWhdv8H
5539,Adora,Albrook,Philippines,925-5955,aalbrook@hotmail.it,127168193,3RRGSv
7043,Jourdain,Albrook,Côte d'Ivoire,444-3035,jalbrook@tin.it,190869456,bx]MY/7beKm"Sw/r
9296,Kory,Albrook,Bangladesh,444-7452,kalbrook@qq.com,968085744,t>*2U${GiM<+9RG
9356,Kandace,Albrook,Senegal,429-7864,kalbrook@charter.net,389417574,MSp8Nab3_W
2032,Antoine,Aleksankin,Angola,867-4818,aaleksankin@rambler.ru,156009657,QBr]fk7
5550,Dalli,Aleksankin,Moldova,925-2269,daleksankin@terra.com.br,137399865,zV>lx3T\rG4]~w
6909,Leonard,Aleksankin,Micronesia,925-4340,laleksankin@ig.com.br,903115342,mG>oKsr;Yc;+b|r
8511,Rubina,Aleksankin,Venezuela,398-2646,raleksankin@t-online.de,766440630,)@be7~eI]P4utHAl
9935,Hamnet,Aleksankin,Barbados,444-9786,haleksankin@ymail.com,198331663,gE=wDcBr4HME]2e
9984,Annelise,Aleksankin,Tunisia,925-2658,aaleksankin@home.nl,786015038,>.jOnu*Jy`:Q?
108,Dorree,Allan,Niger,398-6227,dallan@libero.it,272184006,a;.@!3SA>nCcn1<t
1298,Erminie,Allan,Namibia,270-3874,eallan@live.fr,654199702,Ek_10t%6gr2~
2678,Shanie,Allan,Iceland,398-4969,sallan@sympatico.ca,893571279,~x.:'jT
2784,Madlin,Allan,Bulgaria,867-1842,mallan@voila.fr,582237637,nL#I<6i/
2869,Antoine,Allan,Eritrea,429-8532,aallan@yahoo.co.id,134163315,*&|:[7
3019,Ardisj,Allan,Monaco,270-7620,aallan@laposte.net,252427151,aT=Ksy^4lkhUC?Xu
3157,Adamo,Allan,South Africa,997-8706,aallan@charter.net,751754599,rZTynLd]#5>[/k
4410,Clywd,Allan,Serbia,429-1886,callan@tiscali.co.uk,147762190,!P&;.'#
5155,Ofelia,Allan,Bahrain,219-1720,oallan@yahoo.com.sg,237792061,lB`|rZ
7882,Sterling,Allan,Nepal,908-3736,sallan@sympatico.ca,499685846,|C}1l:\a9.YN=K[
8893,Jarret,Allan,Mauritania,209-5605,jallan@yahoo.in,998547670,@ruu3*n>Nw3#
9411,Marthena,Allan,Ecuador,429-2336,mallan@rambler.ru,778461323,g7r?gO\w7
9934,Ricki,Allan,Finland,997-8321,rallan@yahoo.com.br,254356904,25J'8(5YMdMI
817,Lucius,Allcorn,Palau,997-8618,lallcorn@t-online.de,396313625,aQQ!!qEk?|W-Pt
884,Correy,Allcorn,Russia,867-6556,callcorn@live.ca,378369086,vhz^s`9p}bXdA{De
1607,Gannie,Allcorn,Moldova,908-4752,gallcorn@laposte.net,973088989,q".*(sG3C
2656,Rhoda,Allcorn,Slovakia,219-3702,rallcorn@live.co.uk,668481527,oT&1B(USJ=Y9
2963,Hubey,Allcorn,Bahamas,398-6000,hallcorn@t-online.de,475234656,;$89-ohMe
4526,Kory,Allcorn,Saint Kitts and Nevis,925-2909,kallcorn@live.it,368001121,WkC=~U
4552,Demetra,Allcorn,Morocco,908-2432,dallcorn@yahoo.de,255895459,AKc10r
7057,Gnni,Allcorn,Guatemala,908-4530,gallcorn@yahoo.co.in,623358401,oveLZerW{$t'B!_
9164,Lucilia,Allcorn,Guatemala,925-4360,lallcorn@hotmail.de,900320994,?q:D1.
9396,Cari,Allcorn,France,209-8830,callcorn@blueyonder.co.uk,230028441,+MYr$:
9849,Adelina,Allcorn,Greece,219-5008,aallcorn@live.com.au,504317139,4n:+coz9Wd=M
1764,Myrah,Allsupp,Venezuela,429-6834,mallsupp@centurytel.net,476779742,P>cKFAi
4708,Merrielle,Allsupp,Yemen,270-6334,mallsupp@yahoo.de,742066613,FV7E9n~[
8436,Glyn,Allsupp,Turkey,925-3180,gallsupp@club-internet.fr,599267519,~q<3|Ic9y8=Akd
8866,Allyson,Allsupp,Seychelles,398-4102,aallsupp@hotmail.es,940472077,D&eTw$1U_UL
9130,Malvina,Allsupp,Chile,444-4997,mallsupp@sfr.fr,253599544,m[Hl<Gl]xfQKE
9550,Adriano,Allsupp,Liberia,997-1187,aallsupp@gmx.net,504704749,'z.2\dGZ42r
180,Albertina,Alu,Bolivia,209-5125,aalu@hotmail.co.uk,513314720,*$*L~(m5/ig
633,Feodor,Alu,Croatia,398-4031,falu@yahoo.co.id,327071199,c;`Y}BUr
1128,Rois,Alu,United Arab Emirates,209-9599,ralu@yahoo.ca,181203769,i}D0&G1v$v.Re{w
1284,Maryjo,Alu,India,867-3599,malu@orange.fr,737327243,_g)+'j"x<|h5?:
1717,Merilee,Alu,Nepal,219-5177,malu@yahoo.co.id,310826401,*BPUxzd~|ELK8
5077,Margarete,Alu,Botswana,270-3057,malu@gmx.net,340966488,XddKU(1/
5690,Chery,Alu,Palestine State,219-6136,calu@yahoo.it,401602844,/01doAn&ymb
6875,Ree,Alu,Guyana,398-2430,ralu@comcast.net,270137655,MRV?wX
7873,Malissa,Alu,Peru,997-6699,malu@msn.com,149343064,fuC*^=g)]}S=vERJ
8716,Estelle,Alu,Antigua and Barbuda,429-2784,ealu@ntlworld.com,995398638,6Pis6wzqZD[(D
9032,Madison,Alu,Mauritania,270-2102,malu@msn.com,673957297,x6_b0^
448,Leora,Alwin,Cambodia,867-2156,lalwin@hotmail.fr,920143503,8\euZ+_x(
1649,Angelina,Alwin,Sierra Leone,444-8339,aalwin@sky.com,241170311,]8*V<:W_/M9
2076,Normand,Alwin,South Africa,219-7451,nalwin@wanadoo.fr,345410740,H@#<O|F.1VnW
3025,Griffith,Alwin,China,997-3287,galwin@gmx.de,398469523,Dbg97FWeK
3759,Dre,Alwin,Ireland,219-4997,dalwin@chello.nl,259674931,`\0\$5h4EmfIi%3V
6621,Yancy,Alwin,Turkey,270-2946,yalwin@t-online.de,228185497,42<k%q%wfS{M8}3x
6710,Cordy,Alwin,United Kingdom,398-4466,calwin@aliceadsl.fr,268724621,Hm7e!(
7166,Christopher,Alwin,Hungary,925-9396,calwin@terra.com.br,740135031,d&nv6|5%pvpp
8629,Vivia,Alwin,Colombia,925-1611,valwin@aol.com,291057788,+]|{&F#Wk
9159,Kippar,Alwin,Switzerland,209-2388,kalwin@live.co.uk,163028752,].q4_c
73,Benedict,Andrichak,Israel,908-7523,bandrichak@qq.com,421660061,m`q/JoL]!(t^UhI
387,Ad,Andrichak,Singapore,444-2244,aandrichak@shaw.ca,841982977,[b[A&'!_p*{>Q}@x
393,Bree,Andrichak,Saint Lucia,444-7562,bandrichak@bol.com.br,586694325,F4nD.#
2109,Julie,Andrichak,Serbia,209-2003,jandrichak@terra.com.br,389689210,+[^t[lkR0q9KL[
2571,Patrizia,Andrichak,Solomon Islands,270-7727,pandrichak@yahoo.co.uk,670218100,GQ;|!8d(:jQ
2588,Hadlee,Andrichak,Brunei,398-9846,handrichak@t-online.de,777236557,2&[D:_UgKp
3713,Philipa,Andrichak,Brunei,398-5173,pandrichak@sfr.fr,862691022,*d?YrE
6096,Daniele,Andrichak,Bolivia,908-6712,dandrichak@hotmail.co.uk,835512413,GX;WhG.LQ^-
6555,Cammy,Andrichak,United States of America,219-5837,candrichak@hotmail.co.uk,418466644,\osaSUUOB4C*
6856,Estele,Andrichak,Denmark,219-9908,eandrichak@wanadoo.fr,737601166,OA`3Wq:{.6;-
7013,Stanton,Andrichak,Costa Rica,209-2437,sandrichak@arcor.de,955805119,=*S]Hu^&gLf{s&
7077,Marietta,Andrichak,Guinea-Bissau,270-6806,mandrichak@live.nl,146680173,L#LKtyf3e/jF<\Zy
7691,Amby,Andrichak,Latvia,867-6104,aandrichak@uol.com.br,706713850,(:]vp^WX70hcw`
8966,Alejandra,Andrichak,South Sudan,398-1675,aandrichak@mail.com,887739122,+aKIi'RQ(G[Z
745,Jase,Androsik,Iceland,908-7513,jandrosik@sky.com,406069978,!D*h[qz
2024,Emory,Androsik,Djibouti,219-1230,eandrosik@bigpond.com,194014792,>cG)edn`v0@:N:E
3433,Yves,Androsik,Ghana,429-7438,yandrosik@yahoo.fr,153726633,}U@GW?eP
3935,Levin,Androsik,Belgium,429-8636,landrosik@outlook.com,310760800,?<YS[#Yt
6907,Paddy,Androsik,Liberia,398-3857,pandrosik@live.fr,438497517,zY)IRv\K$Y;6di<
8652,Sondra,Androsik,United Arab Emirates,444-4454,sandrosik@hotmail.de,246651557,0g|(qKkq=6T{x:+
9224,Marietta,Androsik,Kazakhstan,908-9483,mandrosik@zonnet.nl,705535338,oEhsvL
9979,Maurita,Androsik,Costa Rica,925-3916,mandrosik@rocketmail.com,366523851,xo}1Zd`e&lfuZy
788,Annabel,Angrove,Chile,444-2850,aangrove@charter.net,330538055,jnWl+{pZ-FE3?\]
1177,Martin,Angrove,Haiti,429-1407,mangrove@sympatico.ca,288317187,uz"<qQFNnY
1844,Larina,Angrove,Lebanon,429-8533,langrove@ntlworld.com,147013802,uu+6&r+}
2766,Kevin,Angrove,Uruguay,908-6578,kangrove@freenet.de,766703998,CFd@VedNBujJHp
3754,Odey,Angrove,Denmark,270-3271,oangrove@optusnet.com.au,564400779,Mj1/?IV-#[MH&:>
4378,Glyn,Angrove,Zambia,444-7188,gangrove@sfr.fr,713928182,JP;q'T
7353,Fraze,Angrove,Kenya,219-9436,fangrove@aol.com,173826782,L.AaBuLqbO
9659,Prescott,Angrove,Togo,867-3557,pangrove@freenet.de,549451587,B6wh)=#E
2,Gabie,Anscott,Burkina Faso,270-4624,ganscott@tiscali.it,197446129,)\$v.[
828,Peggi,Anscott,Tanzania,209-8160,panscott@windstream.net,248167830,L4zJ(wR
833,Deeyn,Anscott,Panama,398-7611,danscott@hotmail.com,610220341,NrW!j7]y^
2450,Aleksandr,Anscott,Côte d'Ivoire,867-6407,aanscott@bigpond.net.au,137406203,rJ=-r67p{
2902,Dietrich,Anscott,Kazakhstan,429-6335,danscott@frontiernet.net,612433364,n#exp};
4244,Max,Anscott,Ghana,444-5234,manscott@libero.it,899791505,cbOIK{T8
7391,Jayson,Anscott,Croatia,219-8093,janscott@yahoo.com.au,216739045,7T`b#hiP
7947,Bernette,Anscott,Trinidad and Tobago,444-5632,banscott@bluewin.ch,795694848,-i{K(Gyb.;CLnyr
9799,Nikki,Anscott,Eswatini (fmr. "Swaziland"),398-5246,nanscott@live.co.uk,292402218,c}c;'.1
2337,Vern,Anthony,Philippines,444-1680,vanthony@hotmail.fr,999363945,[]UNzZ6}`t0C?@qr
2648,Janek,Anthony,Albania,925-9991,janthony@bellsouth.net,116368132,{iN??Ey}P5:CEM7#
2961,Tobias,Anthony,New Zealand,997-3913,tanthony@wanadoo.fr,421912410,K(.N#ktG
4427,Conant,Anthony,Benin,429-5622,canthony@frontiernet.net,766253271,dxDE(pF~4
6329,Corabella,Anthony,Malawi,925-5727,canthony@yahoo.com.br,715935694,DWSoSf'zr&x}4
7698,Marthena,Anthony,Australia,997-8562,manthony@club-internet.fr,525161566,b!c:U_v:04^9}Xx
7862,Urson,Anthony,Pakistan,398-9344,uanthony@centurytel.net,724331199,I6'j$=(ItO
8240,Glyn,Anthony,Gambia,270-9230,ganthony@libero.it,613716500,gG)+JX);7"
8909,Salomi,Anthony,Canada,219-1748,santhony@earthlink.net,426652414,4VJ5-RJJ.F5t
2122,Erminie,Antoniewicz,Suriname,429-3983,eantoniewicz@live.ca,790486801,uAr|>Ri
4281,Lavinia,Antoniewicz,Montenegro,908-3228,lantoniewicz@neuf.fr,853266761,s1"oj68:*`%h{kc
5348,Ryan,Antoniewicz,Japan,925-8056,rantoniewicz@wanadoo.fr,806514129,*$etlEz8%S}0u\
8183,Natala,Antoniewicz,Slovenia,429-5929,nantoniewicz@sympatico.ca,902300282,QfQLii1gAyd@~Ei9
2876,Gregory,Antoniottii,Marshall Islands,908-1644,gantoniottii@live.nl,893655408,2*'JYnE]w=#B7
2954,Ella,Antoniottii,Niger,867-4512,eantoniottii@web.de,860286220,VK13`}e$XY(5
3169,Stevana,Antoniottii,Ghana,444-4034,santoniottii@chello.nl,626242920,@b\P-O
3213,Pauletta,Antoniottii,Tunisia,925-8945,pantoniottii@freenet.de,899197031,u5J>9m2M
4061,Everett,Antoniottii,Burundi,908-7388,eantoniottii@live.co.uk,305152271,|fpkm4E>u+
4265,Elna,Antoniottii,Luxembourg,444-6341,eantoniottii@skynet.be,383135736,R+R!(Hy^Z?K|+f
4594,Gawen,Antoniottii,Bahamas,867-6562,gantoniottii@yahoo.com.ar,594457558,HYB#qpFW<
4777,Buddy,Antoniottii,Micronesia,925-6314,bantoniottii@hotmail.it,310299845,PE'9x_
5219,Tasia,Antoniottii,Canada,398-2670,tantoniottii@outlook.com,140483334,[ECi=+zY<{xig3O4
5458,Lem,Antoniottii,Senegal,270-9243,lantoniottii@hotmail.de,383345268,PdUm4!hC06K$s
7016,Cece,Antoniottii,South Korea,270-9652,cantoniottii@hetnet.nl,954512399,V(@5]sWm^4!i=
7788,Barde,Antoniottii,Peru,925-1191,bantoniottii@free.fr,346155359,Ku2MR3_bB!#Z
9456,Joell,Antoniottii,Uzbekistan,867-9820,jantoniottii@hotmail.fr,603525202,Uo5nvj%-v
9585,Cassey,Antoniottii,Guinea-Bissau,219-6378,cantoniottii@optusnet.com.au,285303029,</O6/HQS`H%($"
808,Linea,Archambault,Fiji,444-5249,larchambault@bol.com.br,627749784,A2]&E8l3{}_lu
874,Rodrigo,Archambault,Portugal,444-9506,rarchambault@frontiernet.net,263771557,RmqQTI(Bt[8"uyx
1042,Hakeem,Archambault,Ukraine,925-4920,harchambault@sky.com,400088139,bE{].-/v<Wejp
1092,Verene,Archambault,Mali,398-5748,varchambault@uol.com.br,562917350,S!sfFSh5cgNw!
1638,Clarence,Archambault,Sudan,429-9800,carchambault@voila.fr,313531163,C\J#"u)B7%0j/
2568,Marijn,Archambault,Rwanda,867-7627,marchambault@earthlink.net,296707231,Q1Y?@([ABIn
4699,Gerladina,Archambault,Honduras,209-3842,garchambault@free.fr,235533579,@;x4NPB7-de5r
4857,Kandace,Archambault,Timor-Leste,997-9160,karchambault@t-online.de,381113069,[Yk<<-{
7146,Basia,Archambault,Gambia,908-9808,barchambault@msn.com,173255656,-_FrAV7
8435,Garvy,Archambault,Rwanda,219-2101,garchambault@shaw.ca,949821301,9GV3/;BV-}
8624,Massimiliano,Archambault,Seychelles,925-3322,marchambault@rediffmail.com,718053460,c}r2M)5X
9516,Domenico,Archambault,Saint Lucia,398-6279,darchambault@libero.it,494279437,}-Jth:QUMd-1
9597,Chelsey,Archambault,Chile,429-7355,carchambault@mac.com,107411681,8k#s!%}HmMjj
9816,Joletta,Archambault,Iraq,209-6828,jarchambault@facebook.com,461486044,E\9Lt+h+!fOFe
1412,Cornelle,Armsby,New Zealand,997-8354,carmsby@yandex.ru,279922993,b[%35Vhk7rlSi/j
2308,Witty,Armsby,Fiji,398-3146,warmsby@msn.com,515243692,Q5M)\A#1j3=X4s
3185,Hakeem,Armsby,Sweden,997-7324,harmsby@msn.com,139189495,O_M2v$&.[\9pwh>_
4466,Bellina,Armsby,Central African Republic,398-8078,barmsby@bigpond.net.au,837802956,M/xyIh5NL@H=fk`(
5821,Birch,Armsby,Saudi Arabia,219-7591,barmsby@live.com.au,157034410,MqN@it{+
7426,Niall,Armsby,France,997-4819,narmsby@verizon.net,156926762,*BdDT*V:_
7826,Austen,Armsby,Armenia,398-1777,aarmsby@optonline.net,822293495,Cdbvq(<a$iq0
9038,Dniren,Armsby,Madagascar,270-2472,darmsby@earthlink.net,902271976,}GY)5nBb
9418,Kandace,Armsby,Eritrea,209-9220,karmsby@terra.com.br,797600492,mer5+H
384,Steven,Arton,Bangladesh,908-8087,sarton@live.ca,553135962,wF^7i1c}>J:fdT
